# 勋伯格小调综合练习：四部写作无法实现的相邻和弦进行（自动生成，请勿手改）
# 重刷：./gradlew.bat :theory:jvmTest --tests "*SchoenbergMinorForbiddenTransitionGenerator*" -Pschoenberg.forbidden.write=true
# 判据：从小调综合练习程序自身提取的硬约束（一般四部规则 + 完整性/重复/共同音/减增预备解决/旋律进行）下，两拍相邻无任何合规四部实现。
# 规则自动继承练习：新增 typed 规则后重刷即生效。判据在小调内调性无关（a 小调探测）。
# 格式：<度数/性质/规模/转位> => <度数/性质/规模/转位>    # 人类可读罗马标记
#
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED/TRIAD/SECOND_INVERSION    # I65 => vii°64
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED7/SEVENTH/FIRST_INVERSION    # I65 => vii°65
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED7/SEVENTH/ROOT_POSITION    # I65 => vii°7
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED7/SEVENTH/SECOND_INVERSION    # I65 => vii°43
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED7/SEVENTH/THIRD_INVERSION    # I65 => vii°42
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/MAJOR/TRIAD/FIRST_INVERSION    # I65 => VII6
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/MAJOR/TRIAD/ROOT_POSITION    # I65 => VII
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/MAJOR/TRIAD/SECOND_INVERSION    # I65 => VII64
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED/TRIAD/FIRST_INVERSION    # I7 => vii°6
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED/TRIAD/ROOT_POSITION    # I7 => vii°
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED/TRIAD/SECOND_INVERSION    # I7 => vii°64
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/FIRST_INVERSION    # I7 => vii°65
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/ROOT_POSITION    # I7 => vii°7
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/SECOND_INVERSION    # I7 => vii°43
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/THIRD_INVERSION    # I7 => vii°42
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/MAJOR/TRIAD/FIRST_INVERSION    # I7 => VII6
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/MAJOR/TRIAD/ROOT_POSITION    # I7 => VII
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/MAJOR/TRIAD/SECOND_INVERSION    # I7 => VII64
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/AUGMENTED/TRIAD/FIRST_INVERSION    # I7 => III+6
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/AUGMENTED/TRIAD/ROOT_POSITION    # I7 => III+
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/AUGMENTED/TRIAD/SECOND_INVERSION    # I7 => III+64
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR/TRIAD/FIRST_INVERSION    # I7 => III6
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR/TRIAD/ROOT_POSITION    # I7 => III
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR/TRIAD/SECOND_INVERSION    # I7 => III64
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR7/SEVENTH/FIRST_INVERSION    # I7 => III65
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR7/SEVENTH/ROOT_POSITION    # I7 => III7
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR7/SEVENTH/SECOND_INVERSION    # I7 => III43
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR7/SEVENTH/THIRD_INVERSION    # I7 => III42
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/DOMINANT7/SEVENTH/FIRST_INVERSION    # I7 => V65
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/DOMINANT7/SEVENTH/ROOT_POSITION    # I7 => V7
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/DOMINANT7/SEVENTH/SECOND_INVERSION    # I7 => V43
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/DOMINANT7/SEVENTH/THIRD_INVERSION    # I7 => V42
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MAJOR/TRIAD/FIRST_INVERSION    # I7 => V6
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MAJOR/TRIAD/ROOT_POSITION    # I7 => V
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MAJOR/TRIAD/SECOND_INVERSION    # I7 => V64
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MINOR/TRIAD/FIRST_INVERSION    # I7 => v6
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MINOR/TRIAD/ROOT_POSITION    # I7 => v
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MINOR/TRIAD/SECOND_INVERSION    # I7 => v64
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED/TRIAD/FIRST_INVERSION    # I7 => vii°6
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED/TRIAD/ROOT_POSITION    # I7 => vii°
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED/TRIAD/SECOND_INVERSION    # I7 => vii°64
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED7/SEVENTH/FIRST_INVERSION    # I7 => vii°65
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED7/SEVENTH/ROOT_POSITION    # I7 => vii°7
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED7/SEVENTH/SECOND_INVERSION    # I7 => vii°43
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED7/SEVENTH/THIRD_INVERSION    # I7 => vii°42
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/MAJOR/TRIAD/FIRST_INVERSION    # I7 => VII6
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/MAJOR/TRIAD/ROOT_POSITION    # I7 => VII
1/CUSTOM/SEVENTH/ROOT_POSITION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/MAJOR/TRIAD/SECOND_INVERSION    # I7 => VII64
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED/TRIAD/FIRST_INVERSION    # I43 => vii°6
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED/TRIAD/ROOT_POSITION    # I43 => vii°
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED/TRIAD/SECOND_INVERSION    # I43 => vii°64
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/FIRST_INVERSION    # I43 => vii°65
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/ROOT_POSITION    # I43 => vii°7
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/SECOND_INVERSION    # I43 => vii°43
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/THIRD_INVERSION    # I43 => vii°42
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/MAJOR/TRIAD/FIRST_INVERSION    # I43 => VII6
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/MAJOR/TRIAD/ROOT_POSITION    # I43 => VII
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/MAJOR/TRIAD/SECOND_INVERSION    # I43 => VII64
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/AUGMENTED/TRIAD/FIRST_INVERSION    # I43 => III+6
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/AUGMENTED/TRIAD/ROOT_POSITION    # I43 => III+
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/AUGMENTED/TRIAD/SECOND_INVERSION    # I43 => III+64
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR/TRIAD/FIRST_INVERSION    # I43 => III6
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR/TRIAD/ROOT_POSITION    # I43 => III
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR/TRIAD/SECOND_INVERSION    # I43 => III64
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR7/SEVENTH/FIRST_INVERSION    # I43 => III65
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR7/SEVENTH/ROOT_POSITION    # I43 => III7
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR7/SEVENTH/SECOND_INVERSION    # I43 => III43
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR7/SEVENTH/THIRD_INVERSION    # I43 => III42
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/DOMINANT7/SEVENTH/FIRST_INVERSION    # I43 => V65
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/DOMINANT7/SEVENTH/ROOT_POSITION    # I43 => V7
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/DOMINANT7/SEVENTH/SECOND_INVERSION    # I43 => V43
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/DOMINANT7/SEVENTH/THIRD_INVERSION    # I43 => V42
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MAJOR/TRIAD/FIRST_INVERSION    # I43 => V6
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MAJOR/TRIAD/ROOT_POSITION    # I43 => V
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MAJOR/TRIAD/SECOND_INVERSION    # I43 => V64
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MINOR/TRIAD/FIRST_INVERSION    # I43 => v6
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MINOR/TRIAD/ROOT_POSITION    # I43 => v
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MINOR/TRIAD/SECOND_INVERSION    # I43 => v64
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED/TRIAD/FIRST_INVERSION    # I43 => vii°6
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED/TRIAD/ROOT_POSITION    # I43 => vii°
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED/TRIAD/SECOND_INVERSION    # I43 => vii°64
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED7/SEVENTH/FIRST_INVERSION    # I43 => vii°65
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED7/SEVENTH/ROOT_POSITION    # I43 => vii°7
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED7/SEVENTH/SECOND_INVERSION    # I43 => vii°43
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED7/SEVENTH/THIRD_INVERSION    # I43 => vii°42
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/MAJOR/TRIAD/FIRST_INVERSION    # I43 => VII6
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/MAJOR/TRIAD/ROOT_POSITION    # I43 => VII
1/CUSTOM/SEVENTH/SECOND_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/MAJOR/TRIAD/SECOND_INVERSION    # I43 => VII64
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED/TRIAD/FIRST_INVERSION    # I42 => vii°6
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED/TRIAD/ROOT_POSITION    # I42 => vii°
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED/TRIAD/SECOND_INVERSION    # I42 => vii°64
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/FIRST_INVERSION    # I42 => vii°65
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/ROOT_POSITION    # I42 => vii°7
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/SECOND_INVERSION    # I42 => vii°43
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/THIRD_INVERSION    # I42 => vii°42
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/MAJOR/TRIAD/FIRST_INVERSION    # I42 => VII6
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/MAJOR/TRIAD/ROOT_POSITION    # I42 => VII
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/MAJOR/TRIAD/SECOND_INVERSION    # I42 => VII64
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/AUGMENTED/TRIAD/FIRST_INVERSION    # I42 => III+6
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/AUGMENTED/TRIAD/ROOT_POSITION    # I42 => III+
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/AUGMENTED/TRIAD/SECOND_INVERSION    # I42 => III+64
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR/TRIAD/FIRST_INVERSION    # I42 => III6
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR/TRIAD/ROOT_POSITION    # I42 => III
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR/TRIAD/SECOND_INVERSION    # I42 => III64
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR7/SEVENTH/FIRST_INVERSION    # I42 => III65
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR7/SEVENTH/ROOT_POSITION    # I42 => III7
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR7/SEVENTH/SECOND_INVERSION    # I42 => III43
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR7/SEVENTH/THIRD_INVERSION    # I42 => III42
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/DOMINANT7/SEVENTH/FIRST_INVERSION    # I42 => V65
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/DOMINANT7/SEVENTH/ROOT_POSITION    # I42 => V7
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/DOMINANT7/SEVENTH/SECOND_INVERSION    # I42 => V43
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/DOMINANT7/SEVENTH/THIRD_INVERSION    # I42 => V42
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MAJOR/TRIAD/FIRST_INVERSION    # I42 => V6
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MAJOR/TRIAD/ROOT_POSITION    # I42 => V
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MAJOR/TRIAD/SECOND_INVERSION    # I42 => V64
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MINOR/TRIAD/FIRST_INVERSION    # I42 => v6
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MINOR/TRIAD/ROOT_POSITION    # I42 => v
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 5/MINOR/TRIAD/SECOND_INVERSION    # I42 => v64
1/CUSTOM/SEVENTH/THIRD_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 7/DIMINISHED/TRIAD/FIRST_INVERSION    # I42 => vii°6
